0               , 6250670.91277187, 5056276.78668005, 0               , -3888.51773746653, 5557.94097226542, 0               , 6251006.2712017 , 5055631.82390695, 56489.7243016354, -3887.60042365942, 5555.83261138336, 173.948975915548
10              , 6211546.39793326, 5111661.48552528, 0.00060895806923944, -3936.32123537165, 5518.93937784524, 0.000121783753431594, 6211890.92134509, 5110995.46809002, 58227.0204894592, -3935.40556505205, 5516.83683290677, 173.508164797851
20              , 6171945.77056482, 5166654.39187709, 0.00243533041295614, -3983.7399849754, 5479.58307642417, 0.000243464146654926, 6172299.44215612, 5165967.37873584, 59959.8457783582, -3982.82603161917, 5477.48650661456, 173.054807951935
30              , 6131872.88585857, 5221251.97672582, 0.00547752343993999, -4030.77244893762, 5439.87567756434, 0.000364929299839984, 6132235.68809371, 5220544.02842185, 61688.0750655575, -4029.8602856866, 5437.78524112333, 172.588976265491
40              , 6091331.614247  , 5275450.74708225, 0.00973282855488804, -4077.41711641323, 5399.82077579344, 0.000486068117415806, 6091703.52886063, 5274721.9257365 , 63411.5839567379, -4076.50681607504, 5397.73663001744, 172.110740541148
50              , 6050325.84114082, 5329247.2458273 , 0.0151974303715817, -4123.67250252058, 5359.4219506172 , 0.000606770342426671, 6050706.84914115, 5328497.61512899, 65130.2487651594, -4122.76413756879, 5357.34425186152, 171.620171491201
60              , 6008859.46667189, 5382638.05156192, 0.0218664153650651, -4169.53714781692, 5318.68276653932, 0.000726926599863452, 6009249.54834409, 5381867.67675912, 66843.9465107321, -4168.63079039101, 5316.6116702205 , 171.117339732619
70              , 5966936.40544149, 5435619.77845722, 0.0297337809505068, -4215.00961777994, 5277.6067730889 , 0.000846428467769875, 5967335.54035099, 5434828.72634747, 68552.5549190402, -4214.10533968576, 5275.54243368701, 170.602315782453
80              , 5924560.58627365, 5488189.07610485, 0.0387924449771241, -4260.08850229681, 5236.19750485487, 0.000965168450353915, 5924968.75326949, 5487377.41502583, 70255.9524203195, -4259.18637500653, 5234.14007591595, 170.075170053251
90              , 5881735.95197358, 5540342.62936781, 0.0490342553348679, -4304.772415159 , 5194.45848152769, 0.00108304008543959, 5882153.12919175, 5539510.429188  , 71954.018148391 , -4303.87250981162, 5192.40811566608, 169.535972848869
100             , 5838466.45909114, 5592077.15823174, 0.0604500006290216, -4349.05999356464, 5152.39320794753, 0.00119993795401637, 5838892.62395791, 5591224.4903411 , 73646.6319395546, -4348.16238096606, 5150.35005684843, 168.984794360506
110             , 5794756.07768923, 5643389.41765662, 0.0730294204622686, -4392.94989762663, 5110.00517415954, 0.00131575768880472, 5795191.20692446, 5642516.35495736, 75333.6743314426, -4392.05464825045, 5107.96938858135, 168.421704662901
120             , 5750608.79111705, 5694276.1974292 , 0.0867612164718192, -4436.44080988819, 5067.29785547524, 0.00143039607797286, 5751052.86073754, 5693382.81432645, 77015.0265618378, -4435.54799387602, 5065.26958525209, 167.846773710789
130             , 5706028.59578823, 5744734.32201593, 0.101633063628872, -4479.53143484457, 5024.27471254054, 0.00154375100431573, 5706481.581111  , 5743820.69440857, 78690.5705674561, -4478.64112200654, 5022.25410658487, 167.260071335564
140             , 5661019.50096364, 5794760.6504167 , 0.117631621789087, -4522.22049847151, 4980.9391914098 , 0.00165572155637284, 5661481.37660929, 5793826.85568815, 80360.1889826981, -4521.33275828684, 4978.92639771484, 166.661667242223
150             , 5615585.52853895, 5844352.07601933, 0.134742547676793, -4564.50674776024, 4937.29472362603, 0.00176620803279066, 5616056.26843492, 5843398.19302833, 82023.7651383697, -4563.62164937808, 4935.28988926828, 166.051631006449
160             , 5569730.71283674, 5893505.52645485, 0.152950507195974, -4606.38895025921, 4893.34472630685, 0.00187511198407956, 5570210.29022063, 5892531.63552636, 83681.1830603764, -4605.50656249902, 4891.34799744877, 165.430032071944
170             , 5523459.1004032 , 5942217.96345375, 0.172239187867566, -4647.8658936221, 4849.0926022364 , 0.00198233616757713, 5523947.48782607, 5941224.14636976, 85332.3274683897, -4646.98628497467, 4847.10412412885, 164.796939747905
180             , 5476774.74980933, 5990486.38270306, 0.192591311479376, -4688.9363851627, 4804.54173996261, 0.00208778470175601, 5477271.91913896, 5989472.72269356, 86977.0837744917, -4688.05962379089, 4802.56165694741, 164.152423206846
190             , 5429681.73145651, 6038307.81370457, 0.213988647606065, -4729.59925141607, 4759.69551390011, 0.00219136300973699, 5430187.65388069, 6037274.3954384 , 88615.338081797 , -4728.72540515565, 4757.72396941262, 163.496551482398
200             , 5382184.12738647, 6085679.31963396, 0.236412026656279, -4769.85333770622, 4714.5572844384 , 0.0022929778668023, 5382698.77341627, 6084626.22920982, 90246.9771830545, -4768.98247406668, 4712.59442101009, 162.829393467557
210             , 5334286.03109553, 6132597.99720119, 0.259841353675917, -4809.69750772037, 4669.13039805522, 0.00239253740905453, 5334809.37056856, 6131525.32213856, 91871.8885592326, -4808.8296938859, 4667.17635731616, 162.151017912913
220             , 5285991.54735308, 6179060.97651191, 0.284255622137679, -4849.13064308946, 4623.41818743499, 0.00248995119804916, 5286523.54943671, 6177968.80574208, 93489.9603780875, -4848.26594591992, 4621.47311011644, 161.461493425219
230             , 5237304.7920242 , 6225065.42093015, 0.309632928089143, -4888.15164297538, 4577.42397159207, 0.00258513018986946, 5237845.42521883, 6223953.84478726, 95101.0814927178, -4887.29012900723, 4575.487997529  , 160.760888465989
240             , 5188229.89189639, 6270608.52694228, 0.335950484460779, -4926.75942366406, 4531.15105599917, 0.00267798680754995, 5188779.12403867, 6269477.63715433, 96705.1414401066, -4925.90115911166, 4529.22432413266, 160.049271350456
